Nome,GIF
"Dumbbell Rows Destra","https://lh3.googleusercontent.com/d/19db4SrR8OaLLkTpxhBQ5jm0aNMDFhEwM"
"Dumbbell Rows Sinistra","https://lh3.googleusercontent.com/d/1Rs6G2AU2OCS5ktJCBZhcUZbikIw2XOSa"
"Dumbbell Snatch","https://lh3.googleusercontent.com/d/1BVD2y7VnXc0zuU3qfs4CP4UOv3REFlI3"
"Banded External Rotation Sinistra","https://lh3.googleusercontent.com/d/1MQR67Y7iR0jQlXWfVu1r-0Nz2WOttj9l"
"Banded External Rotation Destra","https://lh3.googleusercontent.com/d/1_gB1eDQhht4TPQPcX47cG3vrm3Aq8kHq"
"Flutterkicks","https://lh3.googleusercontent.com/d/10J5YBp7nxblXim3NUH42V0Fu5foPLy5O"
"Frontal Raises","https://lh3.googleusercontent.com/d/1E80zSgTe0iHZZc8bMksRYLlVmJKbdf_n"
"Halo","https://lh3.googleusercontent.com/d/1UNiSC-TpFg5WA9EHWX-yE3sb5ogHJ3ZL"
"Hip Thrust","https://lh3.googleusercontent.com/d/1GjAinktQQij2V3pBdxAIuLP3I2q4c1X8"
"ISTRUZIONI","https://lh3.googleusercontent.com/d/16uLdZNld58oCEUdmL96xzeFP43ZtNbSF"
"JM Press","https://lh3.googleusercontent.com/d/1eCBZM63Qi9AJOYSqR0Xof4k_mI3tJSUB"
"Jumping Lunges","https://lh3.googleusercontent.com/d/1MLM8kGdihADyTcW6EXqt1m2sgQ2rn5Qr"
"Kettlebell Deadlift","https://lh3.googleusercontent.com/d/1-vB9unm524MLfh0Ag39Wwdc7CMxEWZb_"
"Goblet Squat","https://lh3.googleusercontent.com/d/125c81bzjFNfz4TVdfnyC17emJxPgxzx7"
"Kettlebell Horn Curl","https://lh3.googleusercontent.com/d/1hvTJd2RilrDvAWOxRx3eR8JfBCm-x9x-"
"Kettlebell Clean","https://lh3.googleusercontent.com/d/1Xezz5ybhV1lZbkVJvSwyM0IvxmsaRkOZ"
"One Leg Deadlift Destra","https://lh3.googleusercontent.com/d/1z8lq9AIuWGIfgqJKwuJ5mW5856tzvtKv"
"One Leg Deadlift Sinistra","https://lh3.googleusercontent.com/d/1PLTF521rYEqTZt0nKGOx9eA_wFLPRn5p"
"Kettlebell Swing","https://lh3.googleusercontent.com/d/1laHWABEmUpBxV7tauRrMj1WatImTuUK3"
"Lateral Heel Touch","https://lh3.googleusercontent.com/d/15bo6dDt9bhvTTpUa03chNHOwdbjPzKoO"
"Lateral Raises","https://lh3.googleusercontent.com/d/1ebQRJpWltsF_nSlNzeRdqYmPP9UKtUpt"
"Monster Twist","https://lh3.googleusercontent.com/d/1cfkOwKndkoa8BrBKcUt4Ra11SltnFuqu"
"Mountain Climber","https://lh3.googleusercontent.com/d/12EKEk6vKmRjSDztJhMZ7H4IkIBp0BFPq"
"One Arm Bench Press Destra","https://lh3.googleusercontent.com/d/19dD-iGqfkpsHReVNHMK8mU3kg0NIY2Iv"
"One Arm Bench Press Sinistra","https://lh3.googleusercontent.com/d/1NNjO5oYmuWi-gKGwEjwFiH3oeTcFPNFs"
"Plank Hold","https://lh3.googleusercontent.com/d/1_VytzbWiDlcMbw6LPXOpmDqaBCoBAjnp"
"Plank Shoulder Tap","https://lh3.googleusercontent.com/d/16PWaD8LncuKo9JH2GsKQuGXVIpd6dJYV"
"Pullover","https://lh3.googleusercontent.com/d/14Kb5iVMGq2LHoCRs3WeItZGhnA75s0HR"
"Push Up","https://lh3.googleusercontent.com/d/1OF0mVEwnCT9Caml2zq31XFV5BLSES1Gk"
"Quad Push Up","https://lh3.googleusercontent.com/d/1Dm1-hFzZ5LDkJ8N6Q02u3aoZB9sZNt2i"
"Rear Delt Swing","https://lh3.googleusercontent.com/d/1m7EGTSzVD0YNBDuVL5QIHp_ksB5lb_w3"
"Rest","https://lh3.googleusercontent.com/d/1bibXbdrcXdh3vgNHp2Teby3ClS3VqZmb"
"Reverse Lunges","https://lh3.googleusercontent.com/d/10Fcy53ls3w9L0A8FGtJaf1qvx1ZcCqyp"
"Romanian Deadlift","https://lh3.googleusercontent.com/d/1kl6qF3WnUk66URMWGOPpzak6ZN0_yb7v"
"Rowing Snatch Destra","https://lh3.googleusercontent.com/d/1wYSoMAzVFkbHnDrQNLQxFDy5Bkhj_99d"
"Rowing Snatch Sinistra","https://lh3.googleusercontent.com/d/1rU-JQ0tMxehqXtTGORWRh_Yeqo3__ar6"
"Russian Sit Up","https://lh3.googleusercontent.com/d/1u8Hy8RLO2n4QQzegAbHIxL3UQ2Hyh9GC"
"Russian Twist","https://lh3.googleusercontent.com/d/1QEeyLmPf09r4FVnDUN0BS5-QM9xs2aWO"
"Overhead Tricep Extension","https://lh3.googleusercontent.com/d/1XrxKbNhLzCNElLpJb3sZgKeKkvmSJkKo"
"Seated Snatch Destra","https://lh3.googleusercontent.com/d/1NQzOKQU_yAfJc2S2PmsujuBT9bmoJw6t"
"Seated Snatch Sinistra","https://lh3.googleusercontent.com/d/1bzrHMSTeb0LeiAoRHHhTG0sFb3gyYbIu"
"Seated Snatch Alternato","https://lh3.googleusercontent.com/d/1Q3-_pZbCalZpUUDn-Z2L_W4SRJC1aYuQ"
"Side Plank Reach Destra","https://lh3.googleusercontent.com/d/15QnEsfiobouOLnZvOtft6j5aMWKbqXfg"
"Side Plank Reach Sinistra","https://lh3.googleusercontent.com/d/1zU861IlSq_WSSezH32j6eh7I7j8FL0q7"
"Overhead Lunges Destra","https://lh3.googleusercontent.com/d/1q2TbNtoUU88KKhukA1VwUaHvO4j2xMxf"
"Overhead Lunges Sinistra","https://lh3.googleusercontent.com/d/1TAncYcTK6zR8LHWK6F9D-zPWZNYhhwhS"
"Squat Jump","https://lh3.googleusercontent.com/d/1fj1qEqS86aVae9wZInXncJMk9tX86cea"
"Squat Pulse","https://lh3.googleusercontent.com/d/1eAk-_daxrhkYkOwKgEssu6BYtN3Kmis7"
"Staggered Stance Deadlift Destra","https://lh3.googleusercontent.com/d/1R4GrCZ9ynPDwR8zqmBDQ9f9cBQTayW5j"
"Staggered Stance Deadlift Sinistra","https://lh3.googleusercontent.com/d/1juSNjP6FHRkRz8hr1w3149REP63XX_o3"
"Standing Alternated Bicep Curl","https://lh3.googleusercontent.com/d/1vk6MgzSZwFZiUDTZcfKz0yvPmBvE1pKc"
"Step Up Alternati","https://lh3.googleusercontent.com/d/1KENM9GpXIrTU3-ZXfASS4NbMD0Bt-Rf6"
"Tate Press","https://lh3.googleusercontent.com/d/1xlsAQFmRZFQ1TPM4HgIGH8c22D-odJHP"
"Tricep Kick Back Destra","https://lh3.googleusercontent.com/d/1eCH9gAIQNrYLQ27yNE7HcN6q4uYm2AVG"
"Tricep Kick Back Sinistra","https://lh3.googleusercontent.com/d/1NC60rtbg6tT8ah9Ll9NzVOfaTG-olbf7"
"Tuck Up","https://lh3.googleusercontent.com/d/1RvnOOmFzF8kL1qygy4L19Hsixf6g2-tc"
"Turkish Sit Up Destra","https://lh3.googleusercontent.com/d/1LBqBUt5pnZXkByQ4bqMLhnb4JExW2UMG"
"Turkish Sit Up Sinistra","https://lh3.googleusercontent.com/d/1LBqBUt5pnZXkByQ4bqMLhnb4JExW2UMG"
"V Up","https://lh3.googleusercontent.com/d/1MnrptBoC4JTURA2n_VOwQh9Qln2Dy2uB"
"Weighted Deadbug Pulse","https://lh3.googleusercontent.com/d/16gKurP0L6qlP1AJM1H2KG_8drwG14Dx3"
"Weighted V Up","https://lh3.googleusercontent.com/d/18HMRX7cHVDYx06ekmpVGTu13psPAZyqM"
"Windmill Destra","https://lh3.googleusercontent.com/d/1bw-aFiOlCkp7PI_zp960qttXsINKZ-KD"
"Windmill Sinistra","https://lh3.googleusercontent.com/d/1l3Oqtu6uwmw4q6eycz63S9KjeENkBZj_"
"Bottom Squat Hold","https://lh3.googleusercontent.com/d/1HtIHM9q0RnSnYONTpyYB0as5YCsG1evo"
"Dumbbell Front Squat","https://lh3.googleusercontent.com/d/1_CEotE9NCGMIlxIpfiL5UCWlLtLKx-Bq"
"Cossack Squat","https://lh3.googleusercontent.com/d/13MZaIosHEuqQ5H9WQfy7nJy5JAKQSMLz"
"Renegade Rows","https://lh3.googleusercontent.com/d/1FtkdjZaX4pdQuvkfqhn0zwK0e8rzqrk0"
"KOT Lunges Destra","https://lh3.googleusercontent.com/d/1HNCp2x6jQm9YUIG49xicCuqfkVR-wNUc"
"KOT Lunges Sinistra","https://lh3.googleusercontent.com/d/1TJ7mFF-EvpxwoTPdbadDl4L_7vXSygt8"
"Walkout","https://lh3.googleusercontent.com/d/1T1auR2JKhGELTqX3pFjyspzPYArQcJqz"
"Reverse Walkout","https://lh3.googleusercontent.com/d/1NIJeJykgCrQDlA4I9G_ydy-DtqHpnYIx"
"Kettlebell Gorilla Rows","https://lh3.googleusercontent.com/d/1pKN-IAJk5TAKTPkg_87f_0kHIUvT9J3p"
"Crush Grip Bench","https://lh3.googleusercontent.com/d/1RO8XJnWtINQHIEAPQXcPtnxvH1-DXlRY"
"Crush Grip Skull Crush","https://lh3.googleusercontent.com/d/1rARuyEM9lh1vmpC1lpgoHS-XYj8ONI6X"
"Hip Extension on Bench","https://lh3.googleusercontent.com/d/1gTddmTmlTmsAbAFYSv3P2XQs9_8KB5rZ"
"Hip Pump","https://lh3.googleusercontent.com/d/1yAq15hhVxJyOZAon1OLQkHMszJb0Sb9A"
"Doppio Dumbbell Lunges Destra","https://lh3.googleusercontent.com/d/128jV8clzODiBrW3o2J4sWU5WI-AkCTu0"
"Doppio Dumbbell Lunges Sinistra","https://lh3.googleusercontent.com/d/1-rp2BtwYfoci3EPsqH3nBqABX3MA6Z8i"
"Wood Chop Destra","https://lh3.googleusercontent.com/d/1Y-nRGuakkSS22jQL-SqKiQT-HoKokcgL"
"Wood Chop Sinistra","https://lh3.googleusercontent.com/d/1_9tc4atcSn-vtLnWUbGKrtCM9mCJD2YQ"
"Tall Kneeling Around The World Orario","https://lh3.googleusercontent.com/d/1qqpzaqhixFJ0jd0gpZUZUTUZHIxb5EDi"
"Tall Kneeling Around The World Antiorario","https://lh3.googleusercontent.com/d/1JYLHEpY6cjcIlu019rmtoqsms23L5jZy"
"Suitcase March DX","https://lh3.googleusercontent.com/d/1gacAMXHSzQib1tnqwMf1lKWwJRkkLMYU"
"Suitcase March SX","https://lh3.googleusercontent.com/d/1tEq4RoFBEImIIGJHLRKhLYO8Ve9a8C3A"
"Crush Grip Frontal Raise","https://lh3.googleusercontent.com/d/1E80zSgTe0iHZZc8bMksRYLlVmJKbdf_n"
"Elevated Hip Tilt Destra","https://lh3.googleusercontent.com/d/1VgA4s5yhqzUli9Ra6e-RVvNvV0grS5VW"
"Elevated Hip Tilt Sinistra","https://lh3.googleusercontent.com/d/1SYGYvlHxrA-1q7gZYrv2RjlPqRXY9PTI"
"Upright Rows","https://lh3.googleusercontent.com/d/1n1Zvu2QeM5hE-DcWjB6B6ONf9uMfDuW5"
"Single Leg Elevated Hip Extension Destra","https://lh3.googleusercontent.com/d/1pISzyAxZ3H0Wau5LyeY6wiJH0TkDeWbo"
"Single Leg Elevated Hip Extension Sinistra","https://lh3.googleusercontent.com/d/1buL10tUUZu-QoyyB3PGRSYNjAwOr4yRr"
"Alternate Bench Press","https://lh3.googleusercontent.com/d/15HkaAdCGqiZ0Fl-woY_AsR9nZ5yqU1aQ"
"Swing Destra","https://lh3.googleusercontent.com/d/1JlDW_gy1dPI-Zmr89cX1VtAWgVkEm0IM"
"Swing Sinistra","https://lh3.googleusercontent.com/d/11Ybsw26e3LeCP0n03yBKdI1KIezBq_GJ"
"Copenaghen Side Plank Destra","https://lh3.googleusercontent.com/d/1qqpzaqhixFJ0jd0gpZUZUTUZHIxb5EDi"
"Copenaghen Side Plank Sinistra","https://lh3.googleusercontent.com/d/1oesFJeleYliNm3Qouwv51NTQ6jB82rbN"
"Curl & Press Destra","https://lh3.googleusercontent.com/d/1fgVa2D-wRylZqbXtzcv1hyGvTtYA34AB"
"Curl & Press Sinistra","https://lh3.googleusercontent.com/d/1fgVa2D-wRylZqbXtzcv1hyGvTtYA34AB"
"Crush Grip Curl Hold","https://lh3.googleusercontent.com/d/1oOsKRP9FnzMp5xOGwI0wiGdi2YHsIE5l"
"Good Job","https://lh3.googleusercontent.com/d/1Vs1-VgiJi8rTbssSj-2ThcyDraRoTE2g"
"Riscaldamento","https://lh3.googleusercontent.com/d/1Ee4DY-EGnTI9YPrIB0wj6v8pX7KW8Hpt"
"Are you ready?","https://lh3.googleusercontent.com/d/1FS2HKfaJ6MIfpyzJirU6dWQ7K-5kbC9j"
